Job Title,Employment Type,Experience Level,Salary,Company Location,Employee Residence,Company Size,Year
Data Scientist,Full-Time,Senior,104000,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,80000,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,52500,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,115000,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,253000,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,156400,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,300000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,235000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,223100,United States,United States,Large,2023
Data Analyst,Full-Time,Senior,114700,United States,United States,Large,2023
Data Analyst,Full-Time,Senior,95000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,70000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,120000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,152375,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,94000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,134000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,120000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,258750,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,172500,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,254000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,200000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,230000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,196000,United States,United States,Medium,2023
BI Developer,Full-Time,Mid,128000,United States,United States,Medium,2023
BI Developer,Full-Time,Mid,81500,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,220000,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,150000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,155000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,109528,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,269500,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,166600,United States,United States,Medium,2023
Principal Data Scientist,Full-Time,Senior,160000,United States,United States,Large,2023
Data Analyst,Full-Time,Senior,93919,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,51962,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,180000,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,115000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,186600,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,119800,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,75000,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,200000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,280000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,200000,United States,United States,Medium,2023
ML Engineer,Full-Time,Senior,383910,United States,United States,Medium,2023
ML Engineer,Full-Time,Senior,315850,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,235000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,204000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Mid,198000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Mid,132000,United States,United States,Medium,2023
Data Scientist,Full-Time,Mid,141600,United States,United States,Medium,2023
Data Scientist,Full-Time,Mid,94400,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,135000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,108000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,209450,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,167560,United States,United States,Medium,2023
Staff Machine Learning Engineer,Full-Time,Senior,185000,United States,United States,Medium,2021
Staff Data Scientist,Full-Time,Senior,164000,United States,United States,Medium,2020
Data Engineer,Full-Time,Senior,122000,United States,United States,Medium,2023
Data Engineer,Full-Time,Entry,80000,United States,United States,Medium,2023
Data Engineer,Full-Time,Entry,52500,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,238000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,149500,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,258000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,186600,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,116500,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,220000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,228000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,175000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,145000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,195000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,140000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,180000,United States,United States,Medium,2023
Research Scientist,Full-Time,Mid,220000,United States,United States,Medium,2023
Research Scientist,Full-Time,Mid,190000,United States,United States,Medium,2023
BI Developer,Full-Time,Senior,167500,United States,United States,Medium,2023
BI Developer,Full-Time,Senior,106500,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,278700,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,159300,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,323300,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,184700,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,170000,United States,United States,Medium,2023
