Job Title,Experience Level,Salary,Employee Residence,Company Size,Year
Research Scientist,2,220000,0,1,2023
Research Scientist,2,150000,0,1,2023
Data Engineer,1,128000,0,1,2023
Data Engineer,1,81500,0,1,2023
Research Scientist,2,200000,0,1,2023
Machine Learning Engineer,2,208450,0,1,2023
Machine Learning Engineer,2,151600,0,1,2023
ML Engineer,2,208450,0,1,2023
ML Engineer,2,151600,0,1,2023
Research Engineer,2,240960,0,1,2023
Research Engineer,2,200800,0,1,2023
Data Scientist,1,120681,0,1,2023
Data Scientist,1,72409,0,1,2023
Research Engineer,2,250000,0,1,2023
Research Scientist,2,250000,0,1,2023
Research Scientist,2,170000,0,1,2023
Other,3,200000,1,2,2023
Data Engineer,1,167500,0,1,2023
Data Engineer,1,106500,0,1,2023
Data Scientist,2,359170,0,1,2023
Data Scientist,2,310270,0,1,2023
Data Scientist,2,295490,0,1,2023
Data Scientist,2,178560,0,1,2023
Data Scientist,2,148800,0,1,2023
Other,2,331640,0,1,2023
Other,2,283780,0,1,2023
Data Engineer,3,167954,0,1,2023
Data Engineer,3,115830,0,1,2023
Machine Learning Engineer,2,150000,0,1,2023
Machine Learning Engineer,2,125000,0,1,2023
Machine Learning Engineer,2,331640,0,1,2023
Machine Learning Engineer,2,267720,0,1,2023
Other,2,185000,0,1,2023
Other,2,50000,0,1,2023
Data Engineer,2,331640,0,1,2023
Data Engineer,2,283780,0,1,2023
Research Engineer,2,189110,0,1,2023
Research Engineer,2,139000,0,1,2023
ML Engineer,2,199000,0,1,2023
ML Engineer,2,145000,0,1,2023
Other,2,199000,0,1,2023
Other,2,142000,0,1,2023
Machine Learning Engineer,2,283780,0,1,2023
Data Analyst,2,66000,0,1,2023
Data Analyst,2,52000,0,1,2023
Other,2,110400,0,1,2023
Other,2,68000,0,1,2023
Data Scientist,2,200000,0,1,2023
Data Scientist,2,316000,0,1,2023
Analytics Engineer,2,178560,0,1,2023
Analytics Engineer,2,148800,0,1,2023
Other,2,200000,0,2,2023
Data Analyst,2,166500,0,1,2023
Data Analyst,2,113220,0,1,2023
ML Engineer,2,365630,0,1,2023
Data Engineer,2,229000,0,1,2023
Data Engineer,2,131000,0,1,2023
Data Analyst,2,105000,0,1,2023
Data Scientist,2,185000,0,2,2023
Data Scientist,2,86700,0,2,2023
Data Analyst,2,192300,0,1,2023
Data Analyst,2,153800,0,1,2023
Data Engineer,2,90000,0,1,2023
Data Analyst,1,131650,0,1,2023
Data Analyst,1,105320,0,1,2023
Other,2,126400,0,1,2023
Applied Scientist,2,309400,0,2,2023
Applied Scientist,2,159100,0,2,2023
Machine Learning Engineer,2,235400,0,1,2023
Machine Learning Engineer,2,160080,0,1,2023
Data Analyst,2,146190,0,1,2023
Data Analyst,2,119610,0,1,2023
Research Scientist,1,175000,0,1,2023
Research Scientist,2,210000,0,1,2023
Research Scientist,2,151800,0,1,2023
Data Architect,1,150000,0,1,2023
Data Architect,1,100000,0,1,2023
Data Scientist,2,126500,0,1,2023
Data Scientist,2,78000,0,1,2023
Data Analyst,2,126500,0,1,2023
Data Analyst,2,78000,0,1,2023
Data Scientist,2,105000,0,1,2023
Data Scientist,2,70000,0,1,2023
Data Engineer,2,96000,0,1,2023
Data Engineer,2,72000,0,1,2023
Research Scientist,2,323300,0,1,2023
Research Scientist,2,184700,0,1,2023
Data Scientist,2,205150,0,1,2023
Data Scientist,2,167850,0,1,2023
Data Analyst,2,130000,0,1,2023
Data Analyst,2,110000,0,1,2023
Research Scientist,2,278700,0,1,2023
Research Scientist,2,159300,0,1,2023
Data Scientist,2,222750,0,1,2023
Data Scientist,2,182250,0,1,2023
Data Engineer,2,185000,0,1,2023
Machine Learning Engineer,2,296400,0,1,2023
Machine Learning Engineer,2,148594,0,1,2023
Data Scientist,2,206000,0,1,2023
Data Scientist,2,140250,0,1,2023
Other,2,254500,0,2,2023
Other,2,130900,0,2,2023
Data Scientist,2,198000,0,1,2023
Data Scientist,2,124000,0,1,2023
Other,2,234485,0,1,2023
Other,2,112655,0,1,2023
Data Analyst,0,125000,0,1,2023
Data Analyst,0,105000,0,1,2023
Data Scientist,2,184184,0,1,2023
Data Scientist,2,167441,0,1,2023
Data Engineer,3,204500,0,1,2023
Analytics Engineer,0,90000,0,1,2023
Analytics Engineer,0,84000,0,1,2023
Data Engineer,2,202400,0,1,2023
Data Engineer,2,147200,0,1,2023
Data Scientist,2,90000,0,1,2023
Other,2,192000,0,1,2023
Other,2,142000,0,1,2023
Other,2,143000,0,1,2023
Other,2,129000,0,1,2023
Data Scientist,2,191000,0,1,2023
Data Scientist,2,146000,0,1,2023
Other,2,85000,0,1,2023
Other,2,70000,0,1,2023
Machine Learning Engineer,2,212800,0,1,2023
Machine Learning Engineer,2,144800,0,1,2023
Data Analyst,1,250000,0,1,2023
Data Engineer,2,172900,0,1,2023
Data Engineer,2,144100,0,1,2023
Data Scientist,2,230000,0,1,2023
Other,2,160000,0,1,2023
Other,2,135000,0,1,2023
Data Analyst,2,101500,0,1,2023
Data Analyst,2,83700,0,1,2023
Data Scientist,2,253430,0,1,2023
Other,2,202800,0,2,2023
Other,2,104300,0,2,2023
Data Scientist,2,283000,0,1,2023
Data Scientist,2,184000,0,1,2023
Data Scientist,3,220000,0,1,2023
Data Scientist,3,185000,0,1,2023
Data Engineer,2,260000,0,1,2023
Applied Scientist,2,246500,0,1,2023
Applied Scientist,2,133500,0,1,2023
Data Scientist,2,174000,0,1,2023
Data Scientist,2,134000,0,1,2023
Other,3,330000,0,1,2023
Other,3,230000,0,1,2023
Data Engineer,2,254000,0,1,2023
Machine Learning Engineer,2,218540,0,1,2023
Other,1,167000,0,1,2023
Other,1,109000,0,1,2023
Data Engineer,2,208000,0,1,2023
Data Engineer,2,193000,0,1,2023
Applied Scientist,2,216000,0,1,2023
Applied Scientist,2,184000,0,1,2023
Machine Learning Engineer,2,145000,0,1,2023
Machine Learning Engineer,2,284000,0,1,2023
Machine Learning Engineer,2,227000,0,1,2023
Research Scientist,2,205000,0,1,2023
Research Scientist,2,160000,0,1,2023
Machine Learning Engineer,2,191400,0,1,2023
Machine Learning Engineer,2,127600,0,1,2023
Machine Learning Engineer,2,230000,0,1,2023
Data Analyst,2,139600,0,1,2023
Data Analyst,2,85700,0,1,2023
Other,1,95000,0,1,2023
Other,1,70000,0,1,2023
Data Engineer,1,258000,0,1,2023
Data Engineer,1,171000,0,1,2023
Other,3,300000,0,2,2020
Data Engineer,2,232960,0,1,2023
Data Engineer,2,151840,0,1,2023
Data Engineer,2,163152,0,1,2023
Data Engineer,2,108768,0,1,2023
Research Engineer,2,370000,0,1,2023
Research Engineer,2,245000,0,1,2023
Machine Learning Engineer,2,285000,0,1,2023
Machine Learning Engineer,2,193900,0,1,2023
Research Scientist,2,240000,0,1,2023
Research Scientist,2,163200,0,1,2023
Machine Learning Engineer,2,240000,0,1,2023
Machine Learning Engineer,2,163200,0,1,2023
Research Scientist,2,345000,0,1,2023
Research Scientist,2,234700,0,1,2023
Other,2,100000,1,0,2023
Data Engineer,2,241000,0,1,2023
Other,2,210000,0,2,2023
Analytics Engineer,2,90000,0,1,2023
Analytics Engineer,2,84000,0,1,2023
Analytics Engineer,2,221300,0,1,2023
Analytics Engineer,2,147500,0,1,2023
Machine Learning Engineer,2,210000,0,1,2023
Machine Learning Engineer,2,160000,0,1,2023
Analytics Engineer,2,192000,0,1,2023
Analytics Engineer,2,151000,0,1,2023
Data Scientist,2,169000,0,1,2023
Data Engineer,2,204500,0,1,2023
Data Engineer,2,142200,0,1,2023
Data Engineer,2,250000,0,1,2023
Other,2,210000,0,1,2023
Other,2,170000,0,1,2023
Data Scientist,2,189750,0,1,2023
Data Scientist,2,131100,0,1,2023
Research Scientist,2,370000,0,1,2023
Data Analyst,2,94000,0,1,2023
Data Analyst,2,81900,0,1,2023
Analytics Engineer,2,210000,0,1,2023
Analytics Engineer,2,159090,0,1,2023
Data Analyst,2,118000,0,1,2023
Data Analyst,2,94400,0,1,2023
Data Architect,1,90000,0,1,2023
Data Engineer,0,130002,0,1,2023
Data Engineer,0,71908,0,1,2023
Other,0,60000,0,2,2023
Machine Learning Scientist,2,200000,0,1,2023
Machine Learning Scientist,2,170000,0,1,2023
Data Scientist,2,160000,0,1,2023
Data Scientist,2,255000,0,1,2023
Analytics Engineer,2,116990,0,1,2023
Analytics Engineer,2,82920,0,1,2023
Data Engineer,2,121000,0,1,2023
Data Engineer,2,78000,0,1,2023
Analytics Engineer,2,159000,0,1,2023
Analytics Engineer,2,105000,0,1,2023
Research Scientist,1,155000,0,1,2023
Research Scientist,1,102000,0,1,2023
Research Scientist,2,374000,0,1,2023
Research Scientist,2,197500,0,1,2023
Data Scientist,2,240000,0,1,2023
Data Scientist,2,187000,0,1,2023
Applied Scientist,1,20000,1,2,2023
Machine Learning Engineer,2,190000,0,1,2023
Data Scientist,2,195000,0,1,2023
Data Scientist,2,119000,0,1,2023
Data Analyst,2,80000,0,1,2023
Other,2,266450,0,1,2023
Other,2,177700,0,1,2023
Data Scientist,2,245000,0,1,2023
Data Scientist,2,185000,0,1,2023
Other,2,55720,0,1,2023
Other,2,50700,0,1,2023
Research Engineer,2,200000,0,1,2023
