job_title,experience_level,Salary,company_location,company_size,Year,over_100K,over_150K
Other,2,106500,United States,1,2023,1,0
Data Scientist,2,278700,United States,1,2023,1,1
Data Scientist,2,159300,United States,1,2023,1,1
Data Scientist,2,323300,United States,1,2023,1,1
Data Scientist,2,184700,United States,1,2023,1,1
Data Engineer,2,170000,United States,1,2023,1,1
Data Engineer,2,120000,United States,1,2023,1,0
Data Engineer,2,166364,United States,1,2023,1,1
Data Engineer,2,116455,United States,1,2023,1,0
Other,2,145000,United States,1,2023,1,0
Other,2,125000,United States,1,2023,1,0
Data Engineer,1,95000,United States,1,2023,0,0
Data Engineer,1,76000,United States,1,2023,0,0
Data Analyst,2,160000,United States,1,2023,1,1
Data Analyst,2,131000,United States,1,2023,1,0
Data Scientist,2,168000,United States,1,2023,1,1
Machine Learning Engineer,2,250000,United States,1,2023,1,1
Machine Learning Engineer,2,140000,United States,1,2023,1,0
Data Engineer,2,145000,United States,1,2023,1,0
Data Scientist,2,222000,United States,1,2023,1,1
Data Scientist,2,166500,United States,1,2023,1,1
Data Engineer,2,205600,United States,1,2023,1,1
Data Engineer,2,105700,United States,1,2023,1,0
Other,2,138000,United States,1,2023,1,0
Other,2,67000,United States,1,2023,0,0
Other,2,211200,United States,1,2023,1,1
Other,2,176000,United States,1,2023,1,1
Data Analyst,2,230000,United States,1,2023,1,1
Data Analyst,2,135000,United States,1,2023,1,0
Data Analyst,1,60000,United States,1,2023,0,0
Other,2,200000,United States,1,2023,1,1
Other,2,180000,United States,1,2023,1,1
Data Scientist,2,155000,United States,1,2023,1,1
Data Scientist,2,139500,United States,1,2023,1,0
Research Scientist,0,200000,United States,1,2023,1,1
Research Scientist,0,120000,United States,1,2023,1,0
Data Scientist,3,126500,United States,1,2023,1,0
Data Scientist,3,78000,United States,1,2023,0,0
Data Scientist,2,157750,United States,1,2023,1,1
Data Scientist,2,104650,United States,1,2023,1,0
Data Scientist,2,176000,United States,1,2023,1,1
Data Scientist,2,133000,United States,1,2023,1,0
Data Analyst,1,120000,United States,1,2023,1,0
Research Scientist,1,158080,United States,1,2023,1,1
Data Analyst,2,182000,United States,1,2023,1,1
Data Analyst,2,150000,United States,1,2023,1,1
Data Engineer,2,171250,United States,1,2023,1,1
Data Engineer,2,113750,United States,1,2023,1,0
Data Engineer,2,252000,United States,1,2023,1,1
Data Engineer,2,129000,United States,1,2023,1,0
Machine Learning Engineer,2,231000,United States,1,2023,1,1
Machine Learning Engineer,2,200800,United States,1,2023,1,1
Research Scientist,0,250800,United States,1,2023,1,1
Research Scientist,0,167200,United States,1,2023,1,1
Data Scientist,2,159100,United States,1,2023,1,1
Data Scientist,2,120160,United States,1,2023,1,0
Analytics Engineer,2,140000,United States,1,2023,1,0
Analytics Engineer,2,110000,United States,1,2023,1,0
Machine Learning Engineer,1,165000,United States,1,2023,1,1
Machine Learning Engineer,1,149094,United States,1,2023,1,0
Other,3,290000,United States,2,2023,1,1
Other,2,247500,United States,1,2023,1,1
Other,2,172200,United States,1,2023,1,1
Data Engineer,2,175000,United States,1,2023,1,1
Data Engineer,2,130000,United States,1,2023,1,0
Data Analyst,2,85000,United States,1,2023,0,0
Data Analyst,2,72250,United States,1,2023,0,0
Data Engineer,3,162500,United States,1,2023,1,1
Data Engineer,3,130000,United States,1,2023,1,0
Other,2,83000,United States,1,2023,0,0
Other,2,63967,United States,1,2023,0,0
Other,2,188600,United States,1,2023,1,1
Other,2,111550,United States,1,2023,1,0
Machine Learning Engineer,2,219300,United States,1,2023,1,1
Machine Learning Engineer,2,143000,United States,1,2023,1,0
Machine Learning Engineer,2,232200,United States,1,2023,1,1
Machine Learning Engineer,2,133300,United States,1,2023,1,0
Data Engineer,2,80000,United States,1,2023,0,0
Data Engineer,1,198900,United States,1,2023,1,1
Data Engineer,1,183310,United States,1,2023,1,1
Machine Learning Engineer,2,392000,United States,1,2023,1,1
Machine Learning Engineer,2,224000,United States,1,2023,1,1
Data Engineer,2,233000,United States,1,2023,1,1
Data Engineer,2,199098,United States,1,2023,1,1
Data Engineer,2,172000,United States,1,2023,1,1
Data Engineer,2,107000,United States,1,2023,1,0
Research Scientist,2,220000,United States,1,2023,1,1
Research Scientist,2,150000,United States,1,2023,1,1
Data Engineer,1,128000,United States,1,2023,1,0
Data Engineer,1,81500,United States,1,2023,0,0
Research Scientist,2,200000,United States,1,2023,1,1
Machine Learning Engineer,2,208450,United States,1,2023,1,1
Machine Learning Engineer,2,151600,United States,1,2023,1,1
Other,2,208450,United States,1,2023,1,1
Other,2,151600,United States,1,2023,1,1
Other,2,240960,United States,1,2023,1,1
Other,2,200800,United States,1,2023,1,1
Data Scientist,1,120681,United States,1,2023,1,0
Data Scientist,1,72409,United States,1,2023,0,0
Other,2,250000,United States,1,2023,1,1
Research Scientist,2,250000,United States,1,2023,1,1
Research Scientist,2,170000,United States,1,2023,1,1
Data Engineer,1,167500,United States,1,2023,1,1
Data Engineer,1,106500,United States,1,2023,1,0
Data Scientist,2,359170,United States,1,2023,1,1
Data Scientist,2,310270,United States,1,2023,1,1
Data Scientist,2,295490,United States,1,2023,1,1
Data Scientist,2,178560,United States,1,2023,1,1
Data Scientist,2,148800,United States,1,2023,1,0
Other,2,331640,United States,1,2023,1,1
Other,2,283780,United States,1,2023,1,1
Data Engineer,3,167954,United States,1,2023,1,1
Data Engineer,3,115830,United States,1,2023,1,0
Machine Learning Engineer,2,150000,United States,1,2023,1,1
Machine Learning Engineer,2,125000,United States,1,2023,1,0
Machine Learning Engineer,2,331640,United States,1,2023,1,1
Machine Learning Engineer,2,267720,United States,1,2023,1,1
Other,2,185000,United States,1,2023,1,1
Other,2,50000,United States,1,2023,0,0
Data Engineer,2,331640,United States,1,2023,1,1
Data Engineer,2,283780,United States,1,2023,1,1
Other,2,189110,United States,1,2023,1,1
Other,2,139000,United States,1,2023,1,0
Other,2,199000,United States,1,2023,1,1
Other,2,145000,United States,1,2023,1,0
Other,2,199000,United States,1,2023,1,1
Other,2,142000,United States,1,2023,1,0
Machine Learning Engineer,2,283780,United States,1,2023,1,1
Data Analyst,2,66000,United States,1,2023,0,0
Data Analyst,2,52000,United States,1,2023,0,0
Other,2,110400,United States,1,2023,1,0
Other,2,68000,United States,1,2023,0,0
Data Scientist,2,200000,United States,1,2023,1,1
Data Scientist,2,316000,United States,1,2023,1,1
Analytics Engineer,2,178560,United States,1,2023,1,1
Analytics Engineer,2,148800,United States,1,2023,1,0
Other,2,200000,United States,2,2023,1,1
Data Analyst,2,166500,United States,1,2023,1,1
Data Analyst,2,113220,United States,1,2023,1,0
Other,2,365630,United States,1,2023,1,1
Data Engineer,2,229000,United States,1,2023,1,1
Data Engineer,2,131000,United States,1,2023,1,0
Data Analyst,2,105000,United States,1,2023,1,0
Data Scientist,2,185000,United States,2,2023,1,1
Data Scientist,2,86700,United States,2,2023,0,0
Data Analyst,2,192300,United States,1,2023,1,1
Data Analyst,2,153800,United States,1,2023,1,1
Data Engineer,2,90000,United States,1,2023,0,0
Data Analyst,1,131650,United States,1,2023,1,0
Data Analyst,1,105320,United States,1,2023,1,0
Other,2,126400,United States,1,2023,1,0
Other,2,309400,United States,2,2023,1,1
Other,2,159100,United States,2,2023,1,1
Machine Learning Engineer,2,235400,United States,1,2023,1,1
Machine Learning Engineer,2,160080,United States,1,2023,1,1
Data Analyst,2,146190,United States,1,2023,1,0
Data Analyst,2,119610,United States,1,2023,1,0
